Date,Team,Win,GF,game_lat,Opponent,Win,GF,Draw,modal_score,comp_tier,notes
June 4@@24261,:cz: CZE,60.4,1.9,37.3172,:gt: GUA,15.3,0.9,24.3,1-0,1,Friendly
June 4@@24261,:es: ESP 🏡,91.3,3.9,39.58596,:iq: IRQ,1.3,0.3,7.5,2-0,1,Friendly
June 4@@24261,:fr: FRA 🏡,75.3,2.4,47.04737,:ci: CIV,6.6,0.6,18.1,1-0,1,Friendly
June 4@@24261,:se: SWE 🏡,41.2,1.4,58.80855,:gr: GRE,29.3,1.1,29.5,0-0,1,Friendly
June 5@@24262,:ca: CAN 🏡,46.9,1.3,46.89425,:ie: IRL,21.6,0.8,31.6,0-0,1,Friendly
June 5@@24262,:ao: ANG,55.7,1.5,33.183,:bw: BOT,15.2,0.7,29.1,1-0,1,Friendly
June 5@@24262,:ge: GEO 🏡,73.1,2.3,41.93037,:bh: BHR,7.7,0.6,19.2,1-0,1,Friendly
June 5@@24262,:hu: HUN 🏡,61.5,2.0,47.31799,:fi: FIN,15.1,0.9,23.4,1-0,1,Friendly
June 5@@24262,:az: AZE,39.0,1.3,47.7831,:mt: MLT,30.3,1.1,30.7,0-0,1,Friendly
June 5@@24262,:ru: RUS 🏡,66.7,2.1,53.7622,:bf: BFA,11.2,0.7,22.1,1-0,1,Friendly
June 5@@24262,:id: IDN 🏡,37.5,1.3,-4.827971,:om: OMA,31.9,1.1,30.5,0-0,1,Friendly
June 5@@24262,:sk: SVK 🏡,65.2,2.1,48.66519,:me: MNE,12.3,0.8,22.6,1-0,1,Friendly
June 5@@24262,:by: BLR 🏡,48.9,1.5,53.53761,:sy: SYR,22.3,0.9,28.8,1-0,1,Friendly
June 5@@24262,:pe: PER,48.7,1.6,37.3172,:ht: HAI,23.5,1.0,27.8,1-0,1,Friendly
June 5@@24262,:sm: SMR 🏡,38.1,1.0,43.94609,:bd: BAN,25.4,0.7,36.6,0-0,1,Friendly
June 5@@24262,:md: MDA 🏡,20.9,0.9,47.16079,:bg: BUL,50.6,1.6,28.5,0-1,1,Friendly
June 6@@24263,:ch: SUI,57.2,1.9,37.3172,:au: AUS,17.4,0.9,25.4,1-0,1,Friendly
June 6@@24263,:us: USA 🏡,20.7,1.2,37.3172,:de: GER,55.3,2.0,24.0,0-1,1,Friendly
June 6@@24263,:gb-sct: SCO,65.3,2.2,37.3172,:bo: BOL,12.8,0.8,21.8,1-0,1,Friendly
June 6@@24263,:pa: PAN,38.7,1.4,37.3172,:ba: BIH,33.0,1.3,28.3,0-0,1,Friendly
June 6@@24263,:ar: ARG,86.1,3.3,37.3172,:hn: HON,2.8,0.4,11.1,2-0,1,Friendly
June 6@@24263,:br: BRA,67.8,2.2,37.3172,:eg: EGY,10.8,0.7,21.3,1-0,1,Friendly
June 6@@24263,:al: ALB 🏡,57.1,1.7,41.20574,:lu: LUX,15.7,0.7,27.3,1-0,1,Friendly
June 6@@24263,:pl: POL 🏡,49.3,1.6,51.72587,:xk: KOS,23.2,1.0,27.5,1-0,1,Friendly
June 6@@24263,:pt: POR 🏡,75.6,2.5,39.65553,:cl: CHI,6.7,0.6,17.7,1-0,1,Friendly
June 6@@24263,:lt: LTU 🏡,34.4,1.1,55.17509,:lv: LVA,32.3,1.0,33.3,0-0,4,Baltic Cup
June 6@@24263,:gb-eng: ENG,88.1,3.5,37.3172,:nz: NZL,2.2,0.4,9.7,2-0,1,Friendly
June 6@@24263,:ee: EST 🏡,39.8,1.1,59.0178,:fo: FRO,26.1,0.8,34.1,0-0,4,Baltic Cup
June 6@@24263,:cw: CUW 🏡,84.1,3.2,12.1468,:aw: ARU,3.8,0.5,12.1,2-0,1,Friendly
June 6@@24263,:am: ARM 🏡,39.0,1.5,40.27288,:kz: KAZ,32.8,1.3,28.2,0-0,1,Friendly
June 6@@24263,:be: BEL 🏡,70.2,2.2,50.84524,:tn: TUN,9.2,0.7,20.6,1-0,1,Friendly
June 6@@24263,:ro: ROU 🏡,34.8,1.1,45.05045,:gb-wls: WAL,33.4,1.1,31.8,0-0,1,Friendly
June 6@@24263,:qa: QAT,39.0,1.4,37.3172,:sv: SLV,32.5,1.3,28.5,0-0,1,Friendly
June 7@@24264,:dk: DEN 🏡,54.1,1.7,55.85131,:ua: UKR,18.6,0.9,27.3,1-0,1,Friendly
June 7@@24264,:hr: CRO 🏡,59.9,1.8,45.21638,:si: SVN,14.6,0.8,25.5,1-0,1,Friendly
June 7@@24264,:ec: ECU,72.2,2.2,37.3172,:gt: GUA,7.8,0.6,20.0,1-0,1,Friendly
June 7@@24264,:no: NOR,50.1,1.6,37.3172,:ma: MAR,21.6,0.9,28.3,1-0,1,Friendly
June 7@@24264,:co: COL,72.7,2.3,37.3172,:jo: JOR,7.8,0.6,19.5,1-0,1,Friendly
June 7@@24264,:gr: GRE 🏡,25.7,0.9,38.6902,:it: ITA,41.1,1.2,33.2,0-0,1,Friendly
June 8@@24265,:es: ESP,78.3,2.6,21.34143,:pe: PER,5.6,0.5,16.1,1-0,1,Friendly
June 8@@24265,:ci: CIV,53.7,1.7,37.3172,:iq: IRQ,18.9,0.9,27.4,1-0,1,Friendly
June 8@@24265,:uy: URU,49.4,1.6,21.34143,:rs: SRB,22.9,1.0,27.7,1-0,1,Friendly
June 8@@24265,:fr: FRA 🏡,79.7,2.6,47.04737,:gb-nir: NIR,4.4,0.4,16.0,1-0,1,Friendly
June 8@@24265,:az: AZE,78.6,2.5,47.7831,:sm: SMR,4.8,0.5,16.6,1-0,1,Friendly
June 9@@24266,:hu: HUN 🏡,72.5,2.5,47.31799,:kz: KAZ,9.0,0.7,18.6,1-0,1,Friendly
June 9@@24266,:tl: TLS 🏡,58.8,2.0,-8.753522,:bn: BRU,17.5,1.0,23.7,1-0,3,Southeast Asian Championship qualifying
June 9@@24266,:ao: ANG,61.9,2.0,33.183,:cf: CTA,14.4,0.8,23.7,1-0,1,Friendly
June 9@@24266,:ru: RUS 🏡,84.9,3.3,53.7622,:tt: TRI,3.6,0.5,11.5,2-0,1,Friendly
June 9@@24266,:am: ARM 🏡,56.8,1.8,40.27288,:md: MDA,17.8,0.9,25.4,1-0,1,Friendly
June 9@@24266,:cl: CHI,32.8,1.2,39.58596,:cd: COD,37.9,1.4,29.3,0-0,1,Friendly
June 9@@24266,:kh: CAM 🏡,20.6,1.0,12.28687,:hk: HKG,53.2,1.8,26.1,0-1,1,Friendly
June 9@@24266,:sn: SEN,68.5,2.0,37.3172,:sa: KSA,9.0,0.6,22.5,1-0,1,Friendly
June 9@@24266,:om: OMA,50.1,1.6,14.11979,:kw: KUW,21.8,1.0,28.2,1-0,1,Friendly
June 9@@24266,:cn: CHN 🏡,52.7,1.7,32.3261,:th: THA,19.9,0.9,27.4,1-0,1,Friendly
June 9@@24266,:ar: ARG,83.8,3.2,37.3172,:is: ISL,4.0,0.6,12.3,2-0,1,Friendly
June 10@@24267,:gb-eng: ENG,83.4,3.0,37.3172,:cr: CRC,3.8,0.5,12.8,2-0,1,Friendly
June 10@@24267,:pt: POR 🏡,64.0,1.9,39.65553,:ng: NGA,11.7,0.7,24.3,1-0,1,Friendly
June 10@@24267,:at: AUT,69.9,2.3,37.3172,:gt: GUA,10.1,0.8,19.9,1-0,1,Friendly
July 24@@24311,:kh: CAM 🏡,20.2,1.1,12.28687,:sg: SGP,54.8,1.9,25.0,0-1,4,Southeast Asian Championship
July 25@@24312,:la: LAO 🏡,1.8,0.4,17.93762,:th: THA,89.8,3.7,8.4,0-2,4,Southeast Asian Championship
July 25@@24312,:mm: MYA 🏡,15.7,0.9,19.49208,:my: MAS,61.0,2.1,23.3,0-1,4,Southeast Asian Championship
July 27@@24314,:id: IDN 🏡,93.1,4.3,-4.827971,:kh: CAM,0.9,0.3,5.9,3-0,4,Southeast Asian Championship
July 28@@24315,:ph: PHI 🏡,75.7,2.7,12.2553,:mm: MYA,7.5,0.7,16.8,1-0,4,Southeast Asian Championship
July 28@@24315,:my: MAS 🏡,93.4,4.4,3.825267,:la: LAO,0.9,0.3,5.7,3-0,4,Southeast Asian Championship
July 31@@24318,:vn: VIE 🏡,73.0,2.4,15.43885,:sg: SGP,8.0,0.6,18.9,1-0,4,Southeast Asian Championship
Aug. 1@@24319,:la: LAO 🏡,6.2,0.7,17.93762,:ph: PHI,78.8,2.9,15.0,0-2,4,Southeast Asian Championship
Aug. 1@@24319,:th: THA 🏡,66.5,2.2,14.11979,:my: MAS,11.8,0.8,21.8,1-0,4,Southeast Asian Championship
Aug. 3@@24321,:id: IDN 🏡,56.3,1.8,-4.827971,:vn: VIE,18.1,0.9,25.6,1-0,4,Southeast Asian Championship
Aug. 4@@24322,:mm: MYA 🏡,73.1,2.6,19.49208,:la: LAO,9.2,0.8,17.8,1-0,4,Southeast Asian Championship
Aug. 4@@24322,:ph: PHI 🏡,23.7,1.1,12.2553,:th: THA,49.6,1.7,26.7,0-1,4,Southeast Asian Championship
Aug. 7@@24325,:vn: VIE 🏡,90.8,3.8,15.43885,:kh: CAM,1.5,0.4,7.7,2-0,4,Southeast Asian Championship
Aug. 7@@24325,:sg: SGP 🏡,14.2,0.8,1.362888,:id: IDN,62.3,2.0,23.4,0-1,4,Southeast Asian Championship
Aug. 8@@24326,:my: MAS 🏡,62.4,2.1,3.825267,:ph: PHI,14.5,0.9,23.0,1-0,4,Southeast Asian Championship
Aug. 8@@24326,:th: THA 🏡,89.3,3.6,14.11979,:mm: MYA,1.9,0.4,8.8,2-0,4,Southeast Asian Championship
Sept. 24@@24373,:rs: SRB 🏡,38.9,1.3,44.44791,:gr: GRE,30.5,1.1,30.7,0-0,6,UEFA Nations League A
Sept. 24@@24373,:at: AUT 🏡,71.1,2.5,47.7831,:il: ISR,10.0,0.8,18.9,1-0,6,UEFA Nations League B
Sept. 24@@24373,:no: NOR 🏡,53.4,1.8,60.99203,:dk: DEN,20.5,1.0,26.1,1-0,6,UEFA Nations League A
Sept. 24@@24373,:xk: KOS 🏡,39.6,1.2,42.57,:ie: IRL,27.7,0.9,32.7,0-0,6,UEFA Nations League B
Sept. 24@@24373,:nl: NED 🏡,42.2,1.7,52.09536,:de: GER,31.5,1.4,26.3,1-1,6,UEFA Nations League A
Sept. 24@@24373,:pt: POR 🏡,74.9,2.3,39.65553,:gb-wls: WAL,6.4,0.5,18.6,1-0,6,UEFA Nations League A
Sept. 24@@24373,:li: LIE 🏡,6.1,0.5,47.15836,:lt: LTU,74.1,2.2,19.7,0-1,6,UEFA Nations League D
Sept. 24@@24373,:ad: AND 🏡,21.7,0.7,42.52226,:mt: MLT,42.2,1.1,36.1,0-0,6,UEFA Nations League D
Sept. 25@@24374,:pl: POL 🏡,58.6,1.9,51.72587,:ba: BIH,16.5,0.9,24.8,1-0,6,UEFA Nations League B
Sept. 25@@24374,:se: SWE 🏡,57.1,1.8,58.80855,:ro: ROU,16.6,0.8,26.2,1-0,6,UEFA Nations League B
Sept. 25@@24374,:am: ARM 🏡,46.8,1.5,40.27288,:lv: LVA,24.1,1.0,29.0,0-0,6,UEFA Nations League C
Sept. 25@@24374,:hu: HUN 🏡,40.9,1.4,47.31799,:ua: UKR,29.5,1.1,29.6,0-0,6,UEFA Nations League B
